userid,text
8077464138,【#美国新冠肺炎确诊病例超过3200例#，#美专家表示希望民众相互间互动减少#】美国约翰斯·霍普金斯大学发布的实时统计数据显示，截至美东时间15日下午，美国已至少有新冠肺炎确诊病例3244例，其中包括死亡病例62例。美国国家过敏和传染病研究所主任安东尼·福奇在参加美国有线电视新闻网的节目时被问及，成千上万的美国人是否可能会死于新冠肺炎疫情。对此，福奇回答称，“这可能会发生，而且可能会更糟”。他表示，“如果我们继续过我们的日常生活，什么事都不担心，那么死亡人数将会很高”。福奇还表示，他希望看到美国民众相互间的互动大幅减少，包括在酒吧和餐馆里的互动。15日，美国许多地方政府升级疫情防控措施，对餐厅、酒吧等场所营业推出了限制令。波士顿市长宣布，要求所有酒吧和餐厅减少50%的容量，且必须在晚上11点前关闭，任何违规行为将导致停业30天。俄亥俄州要求所有的酒吧和餐厅在晚上9点前关门。加利福尼亚州州长要求该州所有酒吧、夜总会等场所关闭，餐厅的容量则必须减少一半。（郑琪） 收起全文d
8263425112,美国环球音乐董事长兼首席执行官Lucian Graing确诊。曾在2月29日举行大型生日会，庆祝60岁生日，当时音乐界，娱乐界和科技界众多高层与名人参加，包括苹果首席执行官Tim Cook，音乐业务主管Iriving Azoff和副总裁Eddy Cue都有参加。#美股开盘熔断##美股触发本月第三次熔断##美国新冠肺炎确诊病例超过3200例# 收起全文d
3921477041,我们身后是强大的祖国，我十分庆幸自己生在中国，作为中华儿女一生荣耀！#美国新冠肺炎确诊病例超过3200例##伊朗已完成1000万人疫情排查#L热门视频合集的微博视频 ?
2831011528,【#英国专家坚持群体免疫# 美国专家惊到捂脸】英国专家称：应对新的传染病有两种方法。一是治愈世界上每一个病例，但这很难做到，因此现阶段阻止疫情的唯一方法是获得“群体免疫”。美国专家则连连摇头，他表示，疫情如果得不到遏制，将搞垮医疗系统，因此需要采取类似中国和意大利的激进举措。#英229名科学家公开抨击群体免疫思路# #美国新冠肺炎确诊病例超过3200例# L微丢的微博视频 收起全文d
6082795666,【官方回顾卡特生涯精彩三分集锦??】不止能飞善扣！精通射术的文斯-卡特三分球命中总数目前也高居NBA历史第6位！如果老卡特真的以这样的方式就结束了自己的职业生涯，我们真的不想承认，也不愿去面对～#NBA至少停赛两个月##美媒称或有100万美国人将感染新冠病毒##美国新冠肺炎确诊病例超过3200例#LNBA的微博视频 ??? 收起全文d
4309085692,#美国新冠肺炎确诊病例超过3200例# 呵呵！加油！ 2武汉 ?
4814328804,【#美国新冠肺炎确诊病例超过3200例#，#美专家表示希望民众相互间互动减少#】美国约翰斯·霍普金斯大学发布的实时统计数据显示，截至美东时间15日下午，美国已至少有新冠肺炎确诊病例3244例，其中包括死亡病例62例。美国国家过敏和传染病研究所主任安东尼·福奇在参加美国有线电视新闻网的节目时被问及，成千上万的美国人是否可能会死于新冠肺炎疫情。对此，福奇回答称，“这可能会发生，而且可能会更糟”。他表示，“如果我们继续过我们的日常生活，什么事都不担心，那么死亡人数将会很高”。福奇还表示，他希望看到美国民众相互间的互动大幅减少，包括在酒吧和餐馆里的互动。15日，美国许多地方政府升级疫情防控措施，对餐厅、酒吧等场所营业推出了限制令。波士顿市长宣布，要求所有酒吧和餐厅减少50%的容量，且必须在晚上11点前关闭，任何违规行为将导致停业30天。俄亥俄州要求所有的酒吧和餐厅在晚上9点前关门。加利福尼亚州州长要求该州所有酒吧、夜总会等场所关闭，餐厅的容量则必须减少一半。（郑琪）@人民日报 收起全文d
4399487777,故宫大G女是不是也要回来了#北京小汤山医院所有医疗设备就位##北京昨新增泰国输入病例被立案调查##美国新冠肺炎确诊病例超过3200例##美国##故宫回应开奔驰进故宫事件# ?
6155854316,祖国克服万难让海外游子能够回国躲避疫情，希望大家严格按照国家规定，该隔离隔离，该治疗治疗，千万不要瞒报行程，谎报病情，对自己负责、对家人负责，也要对国家负责。祝健康！ #中国专家组将前往意大利疫情最严重地区##意大利新增3590例新冠肺炎##美国新冠肺炎确诊病例超过3200例##法国累计确诊5423例新冠肺炎##英229名科学家公开抨击群体免疫思路##中国以外确诊病例超过中国##美媒称或有100万美国人将感染新冠病毒#  L遵义发布的微博视频 收起全文d
8606797306,回复@海风飞:再过几天多的盖不住了，那时候医院崩溃了。后果惨不忍睹。#美国新冠肺炎确诊病例超过3200例#//@海风飞:美国害怕检测，检测的越多美国患者就更多，这不符合美国掩耳盗铃的战略方向，要是都检测出来了，医院就崩溃了。
6069205536,【即将74岁的特朗普，到底接触过多少新冠肺炎确诊患者？】14日美国白宫医疗团队发布了特朗普的新型冠状病毒的检测结果，显示为阴性。在这之前，他曾与多名新冠病毒检测阳性的人士有密切接触。#美国新冠肺炎确诊病例超过3200例#  @央视网  L小央视频的秒拍视频 ???
2612041968,《【即将74岁的特朗普，到底接触过多少新冠肺炎确诊患者？】14日美国白宫医疗团队发布了特朗普的新型冠状病毒的检测结果，显示为阴性。在这之前，他曾与多名新冠病毒检测阳性的人士有密切接触。#美国新冠肺炎确诊病例超过3200例#  @央视网  http://t.cn/A6zCPD》O网页链接 ?
3569157688,原本准备睡觉的，但是想想还是插播一条消息：坏消息：路易斯安那州有114例，新奥尔良共有75例。好消息：经过周五至周六大幅上升后，周日新增病例有所下降。希望这是“曲线变平”的开始。新冠状病毒人数：周四：6周五：17周六：41周日：26                  #新奥尔良鹈鹕#  #美国新冠肺炎确诊病例超过3200例# 收起全文d
8358008642,【#英国专家坚持群体免疫# 美国专家惊到捂脸】英国专家称：应对新的传染病有两种方法。一是治愈世界上每一个病例，但这很难做到，因此现阶段阻止疫情的唯一方法是获得“群体免疫”。美国专家则连连摇头，他表示，疫情如果得不到遏制，将搞垮医疗系统，因此需要采取类似中国和意大利的激进举措。#英229名科学家公开抨击群体免疫思路# #美国新冠肺炎确诊病例超过3200例#  L微丢的微博视频 收起全文d
2944537564,生，他的成就可以称得上人族第一神话，不要小看他的智慧。” 　　“山主当年虽然被诸balenciaga巴黎世家皇冠刺绣短袖天逼迫签下了一份协议，放弃昆仑界主的宝座，但没有被诸天杀死，这并不是诸天没有这个能量，而是他通晓着诸多秘密 #中国下阶段面临管控输入风险##美国新冠肺炎确诊病例超过3200例##北京小汤山医院修缮工程启动# 收起全文d
3545204663,不知道读到这篇文章的有多少是决定留在纽约的留守儿童，总之希望大家这段时间不要焦虑，保持良好的心情，每天多锻炼，吃好睡好，健康最重要。回国的朋友们也一定一定要注意好防护工作，避免机场和飞机上的感染。希望这段特殊时期赶紧过去，我们夏天再会。??? #美国新冠肺炎确诊病例超过3200例#
2631181379,步瑶！ 　　燕步瑶却早已认不得面貌变化很大的师映川gfhh44，此时她惊惶之 #小说中最扯淡的情节##美国新冠肺炎确诊病例超过3200例# ?
