text
#外籍男子插队检测点规范排队秩序#你好，给个面子，把那几个洋垃圾打包扔出去，我们已经不收垃圾了呢，么么哒 ?
#外籍男子插队检测点规范排队秩序#所以拉个隔离绳事情就解决了吗？ ?
#外籍男子插队检测点规范排队秩序# 呵呵……现在不是晚清时代，我们的腰能不能挺直了，希望能看到那些跪着的工作人员处分结果，让那些洋垃圾从哪来滚回哪去，永远不能踏入中国！绝对不能不了了之，寒了中国人的心！
#外籍男子插队检测点规范排队秩序#光给个中文是让谁看呢？插队的可不是我们中国人呢 ?
#外籍男子插队检测点规范排队秩序# 事情发生了，搞上热搜了，才来整顿啊。 ?
#外籍男子插队检测点规范排队秩序#低素质祸害#科学抗击疫情##社会科学# 2昆明 ?
#外籍男子插队检测点规范排队秩序#重点是洋垃圾滚出去！！你规范国人什么鬼？？难道中国人没好好排队吗？？脑子被??糊了？？全国人民都不接受这种处理方式！！ ?
#外籍男子插队检测点规范排队秩序#这是真的吗？ ?
#外籍男子插队检测点规范排队秩序# 啊哈？！！cao your lao ma 明人不说废话 我就想打你 ?
#外籍男子插队检测点规范排队秩序#那个跪着的人跪了多少年了，起不来了啊？跪着的人远比那些洋垃圾可耻 ?
#外籍男子插队检测点规范排队秩序#如果中国人在外歧视黑人并叫他滚出美国，然后道个歉就行了嘛？？？？如果是这样我无话可说 ?
#外籍男子插队检测点规范排队秩序#  门口的提示只有中文。。搞搞清楚这次插队和叫嚣中国人滚出去的是谁，道歉信用的是什么文字写的！！ ?
#外籍男子插队检测点规范排队秩序#不考虑撤职开除官员党籍?给予外籍的特权(超国民待遇)滥用公权，让人怀疑成为买办二五仔的可能性。另外，对方道歉书的签名不像英文。 ?
#外籍男子插队检测点规范排队秩序# 跪着的人更可恨，不遣返吗？不追究跪着的工作人员吗？没骨气!!! ?
#外籍男子插队检测点规范排队秩序#还是没公布电话来源？帮忙破坏秩序的工作人员处理结果？那封道歉信签名的人叫啥？这么敷衍潦草的签字就完了？ ?
【转发呼吁！这就是中国外交！这就是中国人??】耿爽、吴谦、华春莹.....他们妙语连珠、柔中带刺，却又不失力量，太圈粉了！一起来回顾下！#华春莹反问战斗时会想到论功行赏吗##外籍男子插队检测点规范排队秩序#  L咪咕头条资讯的微博视频 ?
#外籍男子插队检测点规范排队秩序#牛皮所以避重就轻说插队的事，就是不说谁给的特权不用排队，不说为什么这些东西敢喊中国人滚出去，呵呵 ?
搞得中国像亡国了一样，天天被殖民#外籍男子插队检测点规范排队秩序# ?
#外籍男子插队检测点规范排队秩序#把这些个黑鬼招到中国来干吗？？ ?
#外籍男子插队检测点规范排队秩序#跪久了爬不起来 ?
#关注新冠肺炎# 【拉起隔离绳 青岛#外籍男子插队检测点规范排队秩序#】近日，三名外籍人员在青岛进行核酸检测时强行插队并出现不当言行引发关注。4月3日，记者实地探访青岛市崂山区疾控中心核酸检测采样地点时看到，工作人员拉起了新增的隔离绳，张贴了醒目的标语，提醒前来进行检测采样的人员注意保持 ?  展开全文c
#关注新冠肺炎# 【拉起隔离绳 青岛#外籍男子插队检测点规范排队秩序#】近日，三名外籍人员在青岛进行核酸检测时强行插队并出现不当言行引发关注。4月3日，记者实地探访青岛市崂山区疾控中心核酸检测采样地点时看到，工作人员拉起了新增的隔离绳，张贴了醒目的标语，提醒前来进行检测采样的人员注意保持 ?  展开全文c
【拉起隔离绳 青岛#外籍男子插队检测点规范排队秩序#】近日，三名外籍人员在青岛进行核酸检测时强行插队并出现不当言行引发关注。4月3日，记者实地探访青岛市崂山区疾控中心核酸检测采样地点时看到，工作人员拉起了新增的隔离绳，张贴了醒目的标语，提醒前来进行检测采样的人员注意保持间距并有序排队 ?  展开全文c
#外籍男子插队检测点规范排队秩序#真是呵呵了，对于这种洋垃圾不应该是哪来回哪去嘛！在中国的地盘叫嚣着中国人滚出去！我们是大国有大国风度，但是也是对那些尊重我们的人啊！反正官方从事发到现在的一些迷惑行为我这个层次的是理解不了！
#外籍男子插队检测点规范排队秩序#外国人在中国的土地上让中国人get out 工作人员笑嘻嘻的说给个面子这是喝三鹿奶粉喝多了咋滴，这么缺钙 ?
#外籍男子插队检测点规范排队秩序#这特么是单纯插队的事儿吗？大骂  中国人滚出去  什么意思？他是谁？在中国干什么？为什么来中国？能通报出来吗？ 这事不能就这么不了了之，我就想问，外国人比中国人多什么？让崂山卫健委…齐主任们这么舔？ ?
#关注新冠肺炎# 【拉起隔离绳 青岛#外籍男子插队检测点规范排队秩序#】近日，三名外籍人员在青岛进行核酸检测时强行插队并出现不当言行引发关注。4月3日，记者实地探访青岛市崂山区疾控中心核酸检测采样地点时看到，工作人员拉起了新增的隔离绳，张贴了醒目的标语，提醒前来进行检测采样的人员注意保持 ?  展开全文c
#外籍男子插队检测点规范排队秩序#@青岛发布 起来！ ?
#外籍男子插队检测点规范排队秩序# 道歉的时候请摘下你们的口罩！（via 环视频）  L职掌事的微博视频 ?
#外籍男子插队检测点规范排队秩序#就这？？？？？？？就这？？？？？这叫处理？？？？？？？？？？？？？？？？？？？？？？？？？？？我这暴脾气！ ?
#外籍男子插队检测点规范排队秩序#青岛这是啥操作？中国人都是老老实实排队的，你拉红线干啥？难道不该是用英法德意日韩语写请勿插队，别给你的祖国丢脸么？ ?
#青岛外国人辱华签名# 昨天刚看就觉得签名不像真实名字，今天就被科普有辱华含义不遣返留着当“主子”供着啊 #外籍男子插队检测点规范排队秩序# 还拉起隔离绳，怎么外国“主子”插队检查完，就对有序排队的国人更严格是吗？弄清楚谁插的队，OK？
#外籍男子插队检测点规范排队秩序#这个黑人 让他滚出中国 永远不让入境 ?
L聚焦趣闻的微博视频扰乱公共防疫秩序和安全的在华人士，你们没有特权，严惩不贷#华春莹反问战斗时会想到论功行赏吗# #外籍男子插队检测点规范排队秩序# #全球疫情# ?
#外籍男子插队检测点规范排队秩序#之前在机场也遇到过理直气壮插队的白皮猪，洋垃圾滚出中国 ?
#外籍男子插队检测点规范排队秩序#然后呢？这就不了了之了？？？ ?
#外籍男子插队检测点规范排队秩序#
#外籍男子插队检测点规范排队秩序##关注新冠肺炎# 【拉起隔离绳 青岛#外籍男子插队检测点规范排队秩序#】近日，三名外籍人员在青岛进行核酸检测时强行插队并出现不当言行引发关注。4月3日，记者实地探访青岛市崂山区疾控中心核酸检测采样地点时看到，工作人员拉起了新增的隔离绳，张贴了醒目的标语，提 ?  展开全文c
#外籍男子插队检测点规范排队秩序#不知道签名是否是原来就这样，如果是故意学习那就过分了。但是，本身的行为就不礼貌，也不像是有文化的人……签名的事也许是太敏感了？ ?
#外籍男子插队检测点规范排队秩序#这行为又开始闹着玩了，看看那个签名，如果是真的尽快离境吧?? ?
