,userid
0,8199681772
1,8719013586
2,8719013586
3,6384876402
4,4630603022
5,3110970634
6,4430877047
7,8268526878
8,6785758285
9,4481942337
10,7751165014
11,8403012654
12,8015394816
13,8015394816
14,2719161347
15,2666594575
16,8208989606
17,8167603789
18,8013438922
19,3443081347
20,4488218004
21,6377496149
22,6377496149
23,3880865277
24,3226718676
25,3951556376
26,2599109923
27,2599109923
28,8104264016
29,3716688778
30,3404273752
31,3404273752
32,3404273752
33,8253256882
34,3729678789
35,7864653226
36,2716635452
37,4552622761
38,3381013849
39,3851504333
40,3554585413
41,4325537659
42,3554585413
43,7002551545
44,4801511211
45,2587577056
46,6503838789
47,3491623716
48,2587577056
49,2587577056
50,4306626956
51,4542530281
52,3491623716
53,8030224612
54,3491623716
55,2781950909
56,7846717065
57,2686874566
58,7371988554
59,4554512298
60,4383081305
61,4476544970
62,8015394816
63,7768416332
64,8233821138
65,4958837660
66,6458108497
67,8108288938
68,4383081305
69,6571081919
70,6828312286
71,4383081305
72,8108288938
73,8050897359
74,4440172710
75,7278348116
76,4383081305
77,4822048753
78,2716635452
79,8382500239
80,2620083068
81,4125632814
82,2790133133
83,2573449713
84,7452847492
85,7657793347
86,8149815144
87,4684842171
88,4882705788
89,3847037991
90,7170886034
91,8379852974
92,6677774349
93,3657529777
94,7890114079
95,3734809905
96,2608808553
97,4338003110
98,3176936647
99,8328394617
100,3543142104
101,4542530281
102,7698001384
103,6117100917
104,7461432208
105,3413553361
106,4306626956
107,3578077062
108,8137763945
109,8129987697
110,2614448262
111,7751165014
112,3383888398
113,7986906776
114,4487039953
115,4487039953
116,3946721012
117,3030008408
118,7334822597
119,4330585863
120,4319863567
121,8234626859
122,8610462438
123,2708612740
124,4485115960
125,3836781273
126,3834283028
127,8013665832
128,3386737506
129,3034987624
130,7075973302
131,7857771337
132,3430025441
133,8660688425
134,4747474470
135,2703977343
136,4868699133
137,4416199718
138,3725550373
139,2868918539
140,2981515803
141,7857164938
142,3426252036
143,4059850505
144,8056845857
145,4063174770
146,3511305748
147,7979240468
148,2686874566
149,4693521299
150,4311686129
151,8215254229
152,4567149342
153,7393170509
154,8414683956
155,8375862374
156,3233357868
157,3473495072
158,4298159580
159,7549398332
160,4485115960
161,8100575234
162,8321094547
163,2587577056
164,4822515295
165,3140478892
166,2587577056
167,3745834676
168,4365079414
169,3946721012
170,7237107889
171,2587577056
172,3946721012
173,4115805430
174,7461432208
175,3887494808
176,3001180256
177,2607859218
178,8121276592
179,2607859218
180,2607859218
181,2607859218
182,2607859218
183,2607859218
184,3983984541
185,2607859218
186,6791601715
187,4050767291
188,7981969365
189,8199681772
190,3807822486
191,6462922322
192,8785800704
193,2933618744
194,4595728874
195,3768078428
196,8199681772
197,8199681772
198,3688727743
199,8199681772
200,2582870355
201,8199681772
202,4113809666
203,3930933883
204,8785800704
205,8219493428
206,3363733274
207,4300550894
208,3569458204
209,2774288234
210,6462922322
211,2637177424
212,4183415450
213,3404273752
214,2973398587
215,4391026908
216,2610761458
217,3003536160
218,4383493588
219,3003536160
220,4403421014
221,7782879309
222,4335844343
223,3377579769
224,2644778823
225,3946721012
226,7603315712
227,7944803754
228,7831099294
229,8338398894
230,4485115960
231,4485115960
232,2801876506
233,2843791831
234,3245981198
235,8062528914
236,3245981198
237,3463809222
238,7656985376
239,7393170509
240,8584981932
241,7985649066
242,3834283028
243,2582330111
244,2586722099
245,3834283028
246,3834283028
247,2541549989
248,2760951756
249,4100569893
250,2693566261
251,3606937326
252,7914365934
253,2693566261
254,7871701629
255,3710951850
256,2886020248
257,4217323540
258,2691474567
259,2702134637
260,2693566261
261,3404273752
262,3404273752
263,4507389431
264,3404273752
265,2760314582
266,3542607580
267,3840276273
268,8780817458
269,2693566261
270,7211905047
271,2638997054
272,2693566261
273,2693566261
274,8785901515
275,3912696038
276,4554516504
277,2693566261
278,3306590061
279,8279551566
280,2926019658
281,6189190146
282,4284890440
283,7302736296
284,3834283028
285,2604507016
286,4894383685
287,4788329475
288,7458862702
289,3394144364
290,4958683714
291,3912696038
292,4634977512
293,3388607684
294,3689707261
295,3932058194
296,3126507986
297,8593742837
298,3122243028
299,2693566261
300,3472803062
301,3105245897
302,8263425112
303,4485115960
304,2790518709
305,8063147068
306,2788668798
307,8146825747
308,2565042521
309,3695922120
310,3834283028
311,3965089653
312,8803873364
313,8350747422
314,6820686798
