review,label
不过，喜欢4.0原生态的界面！,2
又要重复我每年必说的台词了，2010就要过去了，我很怀念它。,2
至少，它看上去很美。,2
这家位于槟城George Town，Tunes Hotel斜对面的饼家，家庭式作业，她的咸蛋酥，年糕椰蓉酥，叉烧酥都很不错。[good],2
很野味哦。。。,2
白胡椒祛湿。。。,2
黑胡椒很香。。,2
我爱你们两个老家伙～,2
不过这届比赛从首轮就不乏焦点战，沃兹对杜尔科，萨芬娜对小克，休伊特对纳班，场场看点十足啊！,2
好想看呐混蛋,2
给力哈。,2
好性感啊啊啊啊啊啊啊啊啊啊啊，是真的是真的。,2
圆点长款套头针织衫，可爱的波点超级有爱的感觉，迷人的长款随身的感觉，超级百搭的感觉。,2
休闲舒适又不失可爱俏皮的一身，很赞哦！,2
她们没有妳明白我，包容我，还有你的岁月痕迹最性感，皱纹里是我俩的泪水（好喜欢这句，贯中，你写诗很有才华）,2
从3月15号打桩到现在封顶，项目工程建设克服了很多困难，能取得今天这一成绩真的很不容易。,2
你这么诱惑人是不对的！！！,2
领子别开得这么低！！！,2
表情别这么的无辜！！！,2
韩少爷！！！,2
谢谢朋友送的礼物，太贴心了。,2
转：毛少将是所有红后代里面最好的……,2
他还能没事给你们逗逗乐子。,2
多好啊！,2
新宇是个好青年！,2
[PIER 39]开门见山，这家店一定要去吃面包汤！,2
就这家了！,2
东西的量都很大，一盆东西可以3个左右朋友一起Share。,2
书中有中国诗人杨子的一首诗，我很喜欢，摘一段：我和那些和我一样戴着假面的人朝夕相处，我也和你们看不见的朝霞，白羊和花朵朝夕相处，我的假面并没有将我变成时光的囚徒。,2
只能说熊猫族的小熊猫太可爱。。。。,2
他给我们留的除了文学，还有一份感动。,2
朴北鼻眼睛蒲扇的样子真心的扼杀了我~~~[惊哭] 还有喉咙处小肉肉缩上去的感觉~也好喜欢的~~[惊哭] 北鼻啊~~~~,2
你们的杂志办得不错啊。,2
哈哈。,2
封面设计风格还是第一次见到，有耳目一新之感。,2
"看了人艺重排大戏＜蔡文姬＞,真的不错。",2
女主角于明加难得一位大青衣，曹操的扮演者濮存昕演绎得轻松潇洒。,2
但瑕不掩瑜，还是值得一看的好剧目[电影],2
推荐哦~总统也是人呐~,2
对@北大新媒体 说：创意研究中心，非常好。,2
今天采访，虽然事情不是很大，也不是很复杂，但是需要联系很多人，于是打了46个电话，到中午12点半，饿了，此时正好在吴中西路，于是就和老徐去吃这个快餐，真很好吃，于是我得出一个真理，哪里的快餐好，看哪里的出租车司机多。,2
你的生命里有没有这样一个人，总是在你最无助的时候出现，宁可让自己受委屈也要帮你解决问题，就算知道你早已心有所属，也强扯出微笑说不介意，这个人知道你喜欢什么讨厌什么，知道你所有的缺点，但，还是喜欢着你。,2
虽然贵了好多，不过封面上没有那些奇怪的翻译实在太美好了！,2
进机场前先到附近吃野味，那叫个彻底，那叫个爽：猪是野的，鸭肉是野的，蔬菜是野菜，上来的米饭也是野饭，连上菜的服务员都是野人。,2
前两天在微博里看到有人把短信骗子调戏成绑匪，刚刚终于收到一个要求打款的骗子短信了，好激动，要怎么玩呢,2
别的不讲，家宝的样子还是蛮可爱的。,2
就是在吃干巴巴的西式面包吃到绝望的时刻，中国名牌榨菜从天而降，两者搭配在一起的口感，香死个人了，奢侈之极，呜呜、、、,2
到目前为止感觉很好，以邓小平为中心线索叙述＂逮捕四人帮＂前后的历史，详尽，冷静，引用资料极多。,2
他个人观点我不一定同意，但赞赏其严谨。,2
我走了，兄弟姐妹们，我爱你们，我一定会恢复的！！！[抓狂],2
重庆！[强],2
雄起！,2
苏妙玲！[强壮],2
雄起！,2
你们肯定能支持阿耀很久并推荐更多的人喜欢，相信你们！,2
Windows Phone 7 微博客户端的UI设计实在太美了，实在忍不住夸一句，但是还不能发出来给大家看。,2
单位食堂今天做了三明治，哈，这可是咱的大爱啊，荷包蛋煎得恰到好处，蛋黄流着油，，，稀溜几口粥，暖意贯穿全身...,2
上半场踢得都不错，唯一的遗憾就是刘建宏老说话，他要是彻底闭嘴，只直播球场同期现场音效，我就很开心了。,2
"分享图片时年华总,戴卡西欧牌手表,用会留月经的5230,开丰田皇冠同光阳125C,有一对迷人的眼,杀死人噶眼神,最性感噶胡须同樱桃小嘴,还有一副专业的抽烟24,强悍的陆军装头,还有最紧要的就是,每天都穿小猪班纳牌子的衫返学,一条名牌西裤或者牛仔裤,鳄鱼皮鞋,还拿着一个公文袋返学,,真系一级棒啊,",2
得瑟的谢娜的朋友都是我介绍的[挖鼻屎]哎呀，真是看的我啊，原先回答采访愣头愣脑的愣小伙儿啊，现在越来越帅的帅小伙儿啊，张先生各种有！,2
[good]张先生，谢谢你[心],2
都是我的最爱O(∩_∩)O哈哈~[偷乐]@此用户已存在2011 @周踌琢 @sikwan的空间 @facingl @alcanta2009,2
两人奉献了一场精彩的比赛，实力相当，但我还是觉得丁同学是略胜一筹的，佩服特鲁姆普的选台进攻，不过不看好特鲁姆普的决赛…,2
